ID	Ec_Head	En_Head	Ec_BodyCol/SC	I_ISC	Ec_Peduncle	Ec_Tentacle	I_FemGC	Ec_BasalDisk	I_Neuro	I_EarlyNem	I_MaleGC	I_En2N	En_Foot	En_BodyCol/SC	I_ZymoGl	I_GlProgen	I_StenoNB	I_DesmoNC	I_IsoNC	I_StenoNC	En_Tentacle	I_Ec1N	I_Ec4N	I_SpumMucGl	I_Ec3N	I_GranGl	I_DesmoNB	I_IsoNB	I_Ec2N	I_Ec1/5N	I_En1N	I_En3N	C_neuron	C_germline	C_nematoblast	C_nematocytes	C_gland_cell	C_progenitor	C_neuroprogenitor	C_EC_foot	C_EN_foot	C_tentacle	C_head	L_ENDODERM	L_ECTODERM	L_INTERSTITIAL
HVAEP1-G000408		1												1							1				1								1									1	1	1		
HVAEP1-G000409	1	1	1	1	1	1	1				1		1	1										1		1								1			1			1	1	1	1	1	1	1
HVAEP1-G000414	1	1	1	1	1	1		1		1			1	1		1						1			1			1					1		1	1		1		1	1	1	1	1	1	1
HVAEP1-G000415		1	1											1																													1	1	1	
HVAEP1-G000416	1		1			1							1	1													1								1						1	1	1	1	1	
HVAEP1-G000418	1	1	1		1	1	1	1					1	1		1					1													1				1		1	1	1	1	1	1	
HVAEP1-G000419			1			1		1																																1		1			1	
HVAEP1-G000420	1	1	1		1	1							1	1		1					1																	1		1	1	1	1	1	1	
HVAEP1-G000425	1	1			1	1		1			1		1	1							1													1						1	1	1	1	1		
HVAEP1-G000426	1	1	1	1	1	1	1	1	1	1			1	1					1		1													1		1			1	1	1	1	1	1	1	1
HVAEP1-G000427		1											1	1																		1	1								1		1	1		
HVAEP1-G000435		1	1		1		1	1			1		1	1				1			1			1		1								1		1	1			1	1	1	1	1	1	
HVAEP1-G000439		1		1			1	1		1	1		1	1		1				1	1			1										1		1	1	1		1	1	1	1	1		1
HVAEP1-G000440		1			1			1	1			1						1	1	1		1	1	1	1	1					1	1	1			1	1		1	1			1			
HVAEP1-G000441	1	1			1	1	1					1							1		1				1								1	1		1				1		1	1			
HVAEP1-G000442	1	1	1		1	1	1	1					1	1					1															1		1				1	1	1	1	1	1	
HVAEP1-G000443				1					1	1						1	1					1	1		1		1	1		1	1	1	1		1	1		1	1							1
HVAEP1-G000444	1	1	1										1	1				1			1															1					1	1	1	1	1	
HVAEP1-G000445	1		1											1																													1	1	1	
HVAEP1-G000449	1				1				1			1																		1	1	1	1						1	1			1			
HVAEP1-G000450	1							1	1										1	1		1		1						1			1			1	1		1	1			1			
HVAEP1-G000451	1	1	1	1	1	1	1	1	1	1				1		1		1			1		1								1	1	1	1		1		1	1	1		1	1	1	1	1
HVAEP1-G000452	1		1	1	1		1	1					1	1		1		1		1	1	1				1							1	1		1		1		1	1	1	1	1	1	1
HVAEP1-G000454	1	1	1		1	1							1	1	1	1					1			1		1											1	1		1	1	1	1	1	1	
HVAEP1-G000455			1	1	1	1	1	1	1	1						1	1	1	1	1		1					1	1					1	1	1	1		1	1	1		1			1	1
HVAEP1-G000456	1	1	1	1	1	1	1	1					1	1		1				1			1	1		1							1	1		1	1	1		1	1	1	1	1	1	1
HVAEP1-G000457	1	1	1	1	1	1	1	1		1	1		1	1		1																		1		1		1		1	1	1	1	1	1	1
HVAEP1-G000459								1																																1						
HVAEP1-G000460							1	1			1					1		1																1		1		1		1						
HVAEP1-G000461	1		1	1	1	1	1		1	1	1										1													1		1			1	1		1	1		1	1
HVAEP1-G000462																	1			1															1	1										
HVAEP1-G000463		1	1			1		1					1	1					1		1															1				1	1	1	1	1	1	
HVAEP1-G000464	1	1	1	1	1	1	1	1	1	1	1		1	1		1					1													1		1		1	1	1	1	1	1	1	1	1
HVAEP1-G000466		1	1	1	1	1	1				1		1	1					1		1	1			1	1							1	1		1				1	1	1	1	1	1	1
HVAEP1-G000467	1	1	1	1	1		1		1	1				1		1	1																	1	1	1		1	1	1			1	1	1	1
HVAEP1-G000468	1					1																																				1	1			
HVAEP1-G000469	1		1		1	1																																		1		1	1		1	
HVAEP1-G000471			1		1	1	1	1					1					1		1			1		1								1	1		1				1	1	1			1	
HVAEP1-G000473	1		1		1	1																																		1		1	1		1	
HVAEP1-G000475				1			1		1			1								1		1	1										1	1		1			1							1
HVAEP1-G000479				1		1			1			1							1	1			1	1	1			1	1		1	1	1		1	1	1		1			1				1
HVAEP1-G000483	1	1	1		1	1	1	1					1	1							1													1						1	1	1	1	1	1	
HVAEP1-G000486				1	1				1	1																										1			1	1						1
HVAEP1-G000488	1	1	1	1	1	1	1	1	1	1						1	1				1			1										1	1	1	1	1	1	1		1	1		1	1
HVAEP1-G000489	1		1		1	1	1	1		1	1					1		1	1	1	1													1		1		1		1		1	1		1	
HVAEP1-G000490	1	1	1	1	1	1	1	1		1									1	1														1		1				1		1	1		1	1
HVAEP1-G000491							1					1							1			1	1		1					1			1	1		1										
HVAEP1-G000495		1	1			1							1	1	1			1	1		1		1					1	1				1		1	1					1	1	1	1	1	
HVAEP1-G000496	1	1	1		1	1	1	1					1	1							1													1						1	1	1	1	1	1	
HVAEP1-G000501		1					1	1					1	1							1		1										1	1						1	1	1	1	1		
HVAEP1-G000509		1											1	1																											1		1	1		
HVAEP1-G000511	1	1	1		1	1	1						1	1																				1						1	1	1	1	1	1	
HVAEP1-G000513	1	1	1		1	1		1					1	1							1																			1	1	1	1	1	1	
HVAEP1-G000514	1				1			1													1	1								1	1		1							1		1	1			
HVAEP1-G000515								1										1	1	1																1				1						
HVAEP1-G000519	1	1	1		1	1	1	1					1	1										1										1			1			1	1	1	1	1	1	
HVAEP1-G000520	1		1			1												1	1	1																1						1	1		1	
HVAEP1-G000521		1	1		1	1	1	1					1					1			1								1				1	1		1				1	1	1	1		1	
HVAEP1-G000523		1	1																				1										1										1		1	
HVAEP1-G000524	1	1	1		1	1		1					1	1							1																			1	1	1	1	1	1	
HVAEP1-G000526	1	1	1	1									1	1																											1		1	1	1	1
HVAEP1-G000528	1	1	1		1	1							1	1							1					1		1							1					1	1	1	1	1	1	
HVAEP1-G000529	1	1	1		1	1							1	1							1																			1	1	1	1	1	1	
HVAEP1-G000530			1	1						1			1	1										1		1										1	1				1			1	1	1
HVAEP1-G000532			1											1																														1	1	
HVAEP1-G000541		1				1		1					1	1							1																			1	1	1	1	1		
HVAEP1-G000542	1	1	1		1		1	1					1	1							1			1		1								1			1			1	1	1	1	1	1	
HVAEP1-G000546	1	1	1										1	1																											1		1	1	1	
HVAEP1-G000547		1	1	1	1			1		1		1		1			1	1	1	1	1			1			1						1		1	1	1			1		1	1	1	1	1
HVAEP1-G000548	1			1		1	1			1									1	1		1								1	1		1	1		1						1	1			1
HVAEP1-G000549	1	1	1		1	1	1	1					1	1																				1						1	1	1	1	1	1	
HVAEP1-G000550	1		1		1	1																																		1		1	1		1	
HVAEP1-G000551	1			1										1																													1	1		1
HVAEP1-G000552			1											1																														1	1	
HVAEP1-G000553							1			1						1				1														1		1		1								
HVAEP1-G000554												1			1	1						1	1	1	1	1			1	1	1	1	1				1	1								
HVAEP1-G000555								1										1	1																	1				1						
HVAEP1-G000557	1		1		1	1	1	1											1						1					1			1	1		1				1		1	1		1	
HVAEP1-G000558	1	1	1	1	1		1	1	1	1	1		1	1	1	1	1										1	1						1	1	1		1	1	1	1		1	1	1	1
HVAEP1-G000559	1	1	1		1	1	1	1			1		1	1		1		1		1	1						1							1	1	1		1		1	1	1	1	1	1	
HVAEP1-G000560	1		1	1	1	1	1	1								1		1		1														1		1		1		1		1	1		1	1
HVAEP1-G000561	1	1		1			1		1	1			1	1	1	1	1			1				1		1								1	1	1	1	1	1		1		1	1		1
HVAEP1-G000562	1	1	1	1			1		1	1				1		1	1	1							1	1							1	1	1	1		1	1				1	1	1	1
HVAEP1-G000563	1	1	1	1	1	1	1		1	1	1			1	1				1		1									1			1	1		1			1	1		1	1	1	1	1
HVAEP1-G000564		1	1	1	1		1			1	1		1	1		1	1			1										1		1	1	1	1	1		1		1	1		1	1	1	1
HVAEP1-G000567	1	1	1	1			1	1		1				1			1				1				1	1							1	1	1	1				1		1	1	1	1	1
HVAEP1-G000572		1											1	1																											1		1	1		
HVAEP1-G000573		1											1	1				1			1					1										1					1	1	1	1		
HVAEP1-G000574	1	1	1		1	1	1	1					1	1																				1						1	1	1	1	1	1	
HVAEP1-G000575		1	1		1	1	1	1	1		1		1	1				1	1	1	1													1		1			1	1	1	1	1	1	1	
HVAEP1-G000576			1	1	1		1		1	1	1					1																		1		1		1	1	1					1	1
HVAEP1-G000577			1	1	1		1		1	1	1					1																		1		1		1	1	1					1	1
