ID	CLS
HVAEP1-G000091	Ec_BasalDisk
HVAEP1-G000091	I_MaleGC
HVAEP1-G000091	I_IsoNC
HVAEP1-G000092	En_Foot
HVAEP1-G000092	En_BodyCol/SC
HVAEP1-G000092	En_Head
HVAEP1-G000092	En_Tentacle
HVAEP1-G000092	Ec_BasalDisk
HVAEP1-G000095	En_Foot
HVAEP1-G000095	En_BodyCol/SC
HVAEP1-G000095	En_Head
HVAEP1-G000095	En_Tentacle
HVAEP1-G000095	I_StenoNB
HVAEP1-G000097	En_BodyCol/SC
HVAEP1-G000097	En_Head
HVAEP1-G000101	En_Foot
HVAEP1-G000101	En_BodyCol/SC
HVAEP1-G000101	En_Head
HVAEP1-G000101	En_Tentacle
HVAEP1-G000102	En_Foot
HVAEP1-G000102	En_BodyCol/SC
HVAEP1-G000102	En_Head
HVAEP1-G000102	En_Tentacle
HVAEP1-G000102	I_Ec4N
HVAEP1-G000104	En_BodyCol/SC
HVAEP1-G000104	Ec_Peduncle
HVAEP1-G000104	I_En2N
HVAEP1-G000105	Ec_Head
HVAEP1-G000105	En_BodyCol/SC
HVAEP1-G000105	Ec_BodyCol/SC
HVAEP1-G000105	Ec_Peduncle
HVAEP1-G000105	Ec_Tentacle
HVAEP1-G000105	I_FemGC
HVAEP1-G000108	En_Foot
HVAEP1-G000108	En_BodyCol/SC
HVAEP1-G000108	En_Head
HVAEP1-G000108	En_Tentacle
HVAEP1-G000108	I_FemGC
HVAEP1-G000108	I_Neuro
HVAEP1-G000108	I_StenoNC
HVAEP1-G000108	I_Ec4N
HVAEP1-G000108	I_Ec1/5N
HVAEP1-G000108	I_Ec2N
HVAEP1-G000108	I_En2N
HVAEP1-G000108	I_En1N
HVAEP1-G000114	Ec_Head
HVAEP1-G000114	En_Foot
HVAEP1-G000114	En_BodyCol/SC
HVAEP1-G000114	En_Head
HVAEP1-G000114	Ec_BodyCol/SC
HVAEP1-G000114	En_Tentacle
HVAEP1-G000114	I_IsoNC
HVAEP1-G000114	I_StenoNC
HVAEP1-G000114	I_Ec1N
HVAEP1-G000114	I_En1N
HVAEP1-G000117	En_BodyCol/SC
HVAEP1-G000117	En_Head
HVAEP1-G000117	En_Tentacle
HVAEP1-G000117	I_StenoNB
HVAEP1-G000123	En_Foot
HVAEP1-G000123	Ec_BodyCol/SC
HVAEP1-G000123	I_ZymoGl
HVAEP1-G000123	I_ISC
HVAEP1-G000123	Ec_Tentacle
HVAEP1-G000123	I_GranGl
HVAEP1-G000124	Ec_Head
HVAEP1-G000124	En_Head
HVAEP1-G000124	Ec_BodyCol/SC
HVAEP1-G000124	Ec_Peduncle
HVAEP1-G000124	I_MaleGC
HVAEP1-G000124	I_DesmoNC
HVAEP1-G000125	Ec_Head
HVAEP1-G000125	Ec_BodyCol/SC
HVAEP1-G000125	En_Tentacle
HVAEP1-G000125	I_ZymoGl
HVAEP1-G000125	Ec_Peduncle
HVAEP1-G000125	I_FemGC
HVAEP1-G000125	I_GlProgen
HVAEP1-G000125	I_GranGl
HVAEP1-G000125	I_MaleGC
HVAEP1-G000125	I_StenoNB
HVAEP1-G000125	I_IsoNC
HVAEP1-G000125	I_StenoNC
HVAEP1-G000125	I_Ec1/5N
HVAEP1-G000127	Ec_Head
HVAEP1-G000127	En_BodyCol/SC
HVAEP1-G000127	Ec_BodyCol/SC
HVAEP1-G000127	I_ZymoGl
HVAEP1-G000127	I_ISC
HVAEP1-G000127	Ec_Peduncle
HVAEP1-G000127	I_FemGC
HVAEP1-G000127	Ec_BasalDisk
HVAEP1-G000127	I_MaleGC
HVAEP1-G000127	I_SpumMucGl
HVAEP1-G000127	I_StenoNC
HVAEP1-G000127	I_IsoNB
HVAEP1-G000127	I_Ec1N
HVAEP1-G000127	I_En3N
HVAEP1-G000128	Ec_Head
HVAEP1-G000128	En_Foot
HVAEP1-G000128	En_BodyCol/SC
HVAEP1-G000128	En_Head
HVAEP1-G000128	Ec_BodyCol/SC
HVAEP1-G000128	En_Tentacle
HVAEP1-G000128	I_ZymoGl
HVAEP1-G000128	I_ISC
HVAEP1-G000128	Ec_Peduncle
HVAEP1-G000128	I_FemGC
HVAEP1-G000128	I_GlProgen
HVAEP1-G000128	I_MaleGC
HVAEP1-G000128	I_StenoNC
HVAEP1-G000128	I_IsoNB
HVAEP1-G000128	I_En2N
HVAEP1-G000128	I_En1N
HVAEP1-G000129	En_Head
HVAEP1-G000129	Ec_BodyCol/SC
HVAEP1-G000129	I_ZymoGl
HVAEP1-G000129	I_FemGC
HVAEP1-G000129	I_MaleGC
HVAEP1-G000130	Ec_Head
HVAEP1-G000130	En_Foot
HVAEP1-G000130	En_BodyCol/SC
HVAEP1-G000130	En_Head
HVAEP1-G000130	Ec_BodyCol/SC
HVAEP1-G000130	Ec_Peduncle
HVAEP1-G000130	Ec_Tentacle
HVAEP1-G000130	Ec_BasalDisk
HVAEP1-G000130	I_Ec1N
HVAEP1-G000130	I_Ec3N
HVAEP1-G000131	En_Foot
HVAEP1-G000131	En_BodyCol/SC
HVAEP1-G000131	En_Head
HVAEP1-G000131	Ec_BodyCol/SC
HVAEP1-G000131	I_ISC
HVAEP1-G000131	Ec_Peduncle
HVAEP1-G000131	Ec_Tentacle
HVAEP1-G000131	Ec_BasalDisk
HVAEP1-G000131	I_MaleGC
HVAEP1-G000131	I_IsoNC
HVAEP1-G000131	I_StenoNC
HVAEP1-G000131	I_Ec1N
HVAEP1-G000131	I_Ec2N
HVAEP1-G000132	En_Foot
HVAEP1-G000132	En_BodyCol/SC
HVAEP1-G000132	En_Head
HVAEP1-G000132	I_ZymoGl
HVAEP1-G000132	I_ISC
HVAEP1-G000132	I_Neuro
HVAEP1-G000132	I_EarlyNem
HVAEP1-G000132	I_DesmoNC
HVAEP1-G000132	I_StenoNC
HVAEP1-G000133	En_Foot
HVAEP1-G000133	En_BodyCol/SC
HVAEP1-G000133	Ec_BodyCol/SC
HVAEP1-G000133	I_MaleGC
HVAEP1-G000134	En_Head
HVAEP1-G000135	En_Foot
HVAEP1-G000135	En_BodyCol/SC
