ID	Ec_Head	En_Head	Ec_BodyCol/SC	I_ISC	Ec_Peduncle	Ec_Tentacle	I_FemGC	Ec_BasalDisk	I_Neuro	I_EarlyNem	I_MaleGC	I_En2N	En_Foot	En_BodyCol/SC	I_ZymoGl	I_GlProgen	I_StenoNB	I_DesmoNC	I_IsoNC	I_StenoNC	En_Tentacle	I_Ec1N	I_Ec4N	I_SpumMucGl	I_Ec3N	I_GranGl	I_DesmoNB	I_IsoNB	I_Ec2N	I_Ec1/5N	I_En1N	I_En3N	C_neuron	C_germline	C_nematoblast	C_nematocytes	C_gland_cell	C_progenitor	C_neuroprogenitor	C_EC_foot	C_EN_foot	C_tentacle	C_head	L_ENDODERM	L_ECTODERM	L_INTERSTITIAL
HVAEP1-G001197																																														
HVAEP1-G001198																																														1
HVAEP1-G001199																																														
HVAEP1-G001200																																														
HVAEP1-G001201											1																							1												
HVAEP1-G001202																																													1	
HVAEP1-G001203																																														
HVAEP1-G001204																																														
HVAEP1-G001205																																														
HVAEP1-G001206																																														
HVAEP1-G001207																																														
HVAEP1-G001208																																														1
HVAEP1-G001209																																												1		
HVAEP1-G001210																																														
HVAEP1-G001211																																												1		
HVAEP1-G001212																																														
HVAEP1-G001213																																														
HVAEP1-G001214																																														
HVAEP1-G001215																																														1
HVAEP1-G001216																																														
HVAEP1-G001217																																												1		
HVAEP1-G001218																																												1		
HVAEP1-G001219																																												1		
HVAEP1-G001220																																													1	
HVAEP1-G001222								1																																1						
HVAEP1-G001223																																												1		
HVAEP1-G001224																																														
HVAEP1-G001225																																														
HVAEP1-G001226																																														
HVAEP1-G001227																																													1	
HVAEP1-G001231																																														
HVAEP1-G001232																																														
HVAEP1-G001233																																														
HVAEP1-G001234																																														
HVAEP1-G001235																																												1		
HVAEP1-G001236																																												1		
HVAEP1-G001237																																											1	1		
HVAEP1-G001239																																												1		
HVAEP1-G001240																																														
HVAEP1-G001242																																													1	
HVAEP1-G001243																																												1		
HVAEP1-G001245																																													1	
HVAEP1-G001246																																													1	
HVAEP1-G001247																																														1
HVAEP1-G001248																																													1	
HVAEP1-G001249																																														
HVAEP1-G001251																																													1	
HVAEP1-G001252																																												1		
HVAEP1-G001256																																														
HVAEP1-G001257																																												1		
HVAEP1-G001258																																													1	
HVAEP1-G001260																																														
